replicates	alpha	beta	n
1000	1	1	10
1000	1	1	20
1000	1	1	50
1000	1	1	100
1000	1	1	200
1000	1	1	500
1000	1	1	1000
1000	1	1	2000
1000	1	1	5000
1000	1	1	10000
1000	1	1	15000
1000	1.2	1	10000
1000	1.2	1	15000
1000	0.3	0.3	10000
1000	0.3	0.3	15000
1000	1.387	0.954	10000
100	1.387	0.954	15000
